,clip_name,label,cluster
0,train1.aiff,0,2
1,train2.aiff,0,0
2,train3.aiff,0,0
3,train4.aiff,0,0
4,train5.aiff,0,0
5,train6.aiff,1,0
6,train7.aiff,1,2
7,train8.aiff,0,0
8,train9.aiff,1,0
9,train10.aiff,0,0
10,train11.aiff,0,0
11,train12.aiff,1,0
12,train13.aiff,0,0
13,train14.aiff,0,2
14,train15.aiff,0,0
15,train16.aiff,0,2
16,train17.aiff,0,0
17,train18.aiff,0,0
18,train19.aiff,0,0
19,train20.aiff,0,0
20,train21.aiff,0,0
21,train22.aiff,0,0
22,train23.aiff,0,0
23,train24.aiff,0,0
24,train25.aiff,0,2
25,train26.aiff,0,2
26,train27.aiff,0,0
27,train28.aiff,1,2
28,train29.aiff,0,0
29,train30.aiff,0,2
30,train31.aiff,1,0
31,train32.aiff,1,0
32,train33.aiff,0,2
33,train34.aiff,0,3
34,train35.aiff,0,2
35,train36.aiff,0,0
36,train37.aiff,0,0
37,train38.aiff,0,1
38,train39.aiff,0,2
39,train40.aiff,0,2
40,train41.aiff,0,2
41,train42.aiff,0,0
42,train43.aiff,0,0
43,train44.aiff,0,2
44,train45.aiff,0,2
45,train46.aiff,0,2
46,train47.aiff,0,0
47,train48.aiff,0,2
48,train49.aiff,0,0
49,train50.aiff,0,2
50,train51.aiff,0,2
51,train52.aiff,0,0
52,train53.aiff,0,2
53,train54.aiff,0,2
54,train55.aiff,1,0
55,train56.aiff,0,2
56,train57.aiff,0,2
57,train58.aiff,0,2
58,train59.aiff,0,1
59,train60.aiff,0,2
60,train61.aiff,0,0
61,train62.aiff,0,0
62,train63.aiff,0,0
63,train64.aiff,1,0
64,train65.aiff,0,1
65,train66.aiff,0,1
66,train67.aiff,0,0
67,train68.aiff,0,0
68,train69.aiff,0,0
69,train70.aiff,0,0
70,train71.aiff,0,0
71,train72.aiff,0,2
72,train73.aiff,1,0
73,train74.aiff,1,0
74,train75.aiff,1,0
75,train76.aiff,0,0
76,train77.aiff,1,0
77,train78.aiff,1,0
78,train79.aiff,1,0
79,train80.aiff,1,0
80,train81.aiff,1,0
81,train82.aiff,1,0
82,train83.aiff,0,0
83,train84.aiff,1,0
84,train85.aiff,0,0
85,train86.aiff,0,2
86,train87.aiff,0,0
87,train88.aiff,0,2
88,train89.aiff,0,2
89,train90.aiff,0,0
90,train91.aiff,0,2
91,train92.aiff,0,2
92,train93.aiff,0,2
93,train94.aiff,0,2
94,train95.aiff,0,1
95,train96.aiff,0,2
96,train97.aiff,0,2
97,train98.aiff,0,2
98,train99.aiff,0,2
99,train100.aiff,0,0
100,train101.aiff,0,2
101,train102.aiff,0,2
102,train103.aiff,0,0
103,train104.aiff,0,0
104,train105.aiff,0,1
105,train106.aiff,0,1
106,train107.aiff,0,2
107,train108.aiff,0,2
108,train109.aiff,0,1
109,train110.aiff,0,2
110,train111.aiff,0,2
111,train112.aiff,0,0
112,train113.aiff,0,0
113,train114.aiff,0,2
114,train115.aiff,0,2
115,train116.aiff,0,0
116,train117.aiff,0,1
117,train118.aiff,0,2
118,train119.aiff,0,2
119,train120.aiff,0,1
120,train121.aiff,0,2
121,train122.aiff,0,3
122,train123.aiff,0,1
123,train124.aiff,0,2
124,train125.aiff,0,2
125,train126.aiff,0,2
126,train127.aiff,0,2
127,train128.aiff,0,1
128,train129.aiff,0,1
129,train130.aiff,0,1
130,train131.aiff,0,2
131,train132.aiff,0,1
132,train133.aiff,1,0
133,train134.aiff,0,1
134,train135.aiff,0,1
135,train136.aiff,0,2
136,train137.aiff,0,1
137,train138.aiff,0,4
138,train139.aiff,0,2
139,train140.aiff,0,1
140,train141.aiff,0,2
141,train142.aiff,0,2
142,train143.aiff,0,2
143,train144.aiff,0,1
144,train145.aiff,0,1
145,train146.aiff,0,1
146,train147.aiff,0,2
147,train148.aiff,0,2
148,train149.aiff,0,2
149,train150.aiff,0,2
150,train151.aiff,0,1
151,train152.aiff,0,1
152,train153.aiff,0,2
153,train154.aiff,0,2
154,train155.aiff,0,1
155,train156.aiff,0,2
156,train157.aiff,0,2
157,train158.aiff,0,1
158,train159.aiff,0,2
159,train160.aiff,0,0
160,train161.aiff,0,2
161,train162.aiff,0,1
162,train163.aiff,0,1
163,train164.aiff,0,1
164,train165.aiff,0,2
165,train166.aiff,0,2
166,train167.aiff,0,2
167,train168.aiff,1,2
168,train169.aiff,0,1
169,train170.aiff,0,2
170,train171.aiff,0,1
171,train172.aiff,0,2
172,train173.aiff,0,2
173,train174.aiff,0,2
174,train175.aiff,0,2
175,train176.aiff,0,2
176,train177.aiff,0,2
177,train178.aiff,0,2
178,train179.aiff,0,1
179,train180.aiff,1,2
180,train181.aiff,0,1
181,train182.aiff,0,1
182,train183.aiff,0,2
183,train184.aiff,0,2
184,train185.aiff,0,2
185,train186.aiff,0,3
186,train187.aiff,0,1
187,train188.aiff,0,1
188,train189.aiff,0,1
189,train190.aiff,0,1
190,train191.aiff,0,2
191,train192.aiff,0,1
